"campaignid","sample","family","genus","species","length","range","date.time","location","site","depth","observer.count","observer.length","successful.count","successful.length","successful.habitat.forward","successful.habitat.backward","ZoneName","longitude","latitude","status"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",91.85246,"1345.92948","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",112.1837,"1632.09249","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",72.89416,"1941.93514","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",102.42246,"1895.34396","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",92.81319,"2569.76061","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",103.06309,"1451.46968","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",84.56748,"2229.13454","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",121.47633,"1926.97638","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",88.62928,"2740.80441","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",80.95491,"1723.96059","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Coris","auricularis",141.04232,"1623.08977","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",163.91458,"1674.23696","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",260.49564,"2011.40334","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",204.48715,"1367.71914","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",149.40828,"1371.25757","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",149.40828,"1371.25757","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",192.29395,"1239.24986","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",143.15257,"911.23807","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolata",143.15257,"911.23807","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",102.1063,"1371.14055","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",115.19194,"1673.97552","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",98.39907,"1288.04170","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",135.28199,"1976.06450","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",134.73312,"2045.11246","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",120.02666,"967.72698","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",112.7638,"1722.80051","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",134.61322,"4462.58567","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
"2023-03_SwC_stereo-BRUVs","10","Monacanthidae","Meuschenia","galii",268.27476,"3759.37271","18/03/2023 2:44",NA,NA,"44.3","Gidget Mirrabelle","Levi Peters","Yes","Yes","Yes","Yes","National Park Zone",114.853305,-34.083875,"No-take"
