sample,type,longitude,latitude,date,time,time.out,site,location,status,depth,observer,maxn.complete.yyyymmdd,maxn.checker,successful.count,successful.length,left.cam,right.cam,rear.cam,video.notes,raw.hd,con.hd,forward.habitat.image.saved,backward.habitat.image.saved,habitat.classification,length.analyst,length.complete.date.yyyymmdd,notes
14.13,new,113.7416667,-22.2866667,15082019,15:20:00,16:32:00,14,Ningaloo Marine Park,NA,101,Charlotte Aston,20191030,,Yes,Yes,378,377,423,,2,2,Yes,Yes,20200305,,NA,
15.01,legacy,113.7915,-22.17344,16082019,8:16:00,9:23:00,15,Ningaloo Marine Park,NA,100,Charlotte Aston,20191031,,Yes,Yes,378,377,423,,2,2,Yes,Yes,20200305,,NA,
15.02,legacy,113.7941,-22.16882,16082019,8:20:00,9:30:00,15,Ningaloo Marine Park,NA,100,Charlotte Aston,20191107,,Yes,Yes,375,376,420,No light. Good tape for multidens vs other multidens,2,2,Yes,Yes,20200305,,NA,
15.05,legacy,113.78335,-22.16173,16082019,8:27:00,9:39:00,15,Ningaloo Marine Park,NA,122,Charlotte Aston,20191031,,No,No ,367,368,440,Flipped on back. cool anenome,2,2,Yes,Yes,20200305,,NA,
15.07,legacy,113.79163,-22.13639,16082019,8:43:00,10:03:00,15,Ningaloo Marine Park,NA,116,Charlotte Aston,20191031,,Yes,Yes,372,371,564,"Sunny but windy. Clear, moray eel. Big goldband",2,2,Yes,Yes,20200305,,NA,
15.12,new,113.7899349,-22.14381158,16082019,8:39:00,9:53:00,15,Ningaloo Marine Park,NA,110,Charlotte Aston,20191031,,Yes,Yes,373,374,439,White whale. Missing backwards,2,2,Yes,No,20200305,,NA,
16.01,legacy,113.80074,-22.12155,16082019,10:22:00,11:28:00,18,Ningaloo Marine Park,NA,101,Charlotte Aston,20191031,,Yes,Yes,372,371,564,,2,2,Yes,Yes,20200305,,NA,
16.02,legacy,113.79192,-22.11624,16082019,10:28:00,11:37:00,16,Ningaloo Marine Park,NA,145,Charlotte Aston,20191031,,Yes,Yes,373,374,439,Good habitat,2,2,Yes,Yes,20200305 check for weird hydroids,,NA,
16.03,legacy,113.7967,-22.10669,16082019,10:39:00,11:48:00,16,Ningaloo Marine Park,NA,190,Charlotte Aston,20191101,,Yes,Yes,367,368,440,,2,2,Yes,Yes,20200305,,NA,
16.04,legacy,113.8081,-22.09742,16082019,10:48:00,12:04:00,16,Ningaloo Marine Park,NA,100,Charlotte Aston,20191101,,Yes,Yes,375,376,420,No light,2,2,Yes,Yes,20200305,,NA,
16.05,legacy,113.82563,-22.0856,16082019,11:00:00,12:23:00,16,Ningaloo Marine Park,NA,85,Charlotte Aston,20191107,,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,,NA,
17.08,new,113.8193929,-22.0943763,16082019,10:53:00,12:15:00,17,Ningaloo Marine Park,NA,90,Charlotte Aston,20191101,,Yes,Yes,378,377,423,,2,2,Yes,Yes,20200305,,NA,
18.01,new,113.812266,-22.06954369,16082019,12:33:00,13:35:00,18,Ningaloo Marine Park,NA,91,Charlotte Aston,20191101,,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,,NA,
18.02,new,113.8120284,-22.06517499,16082019,12:38:00,13:42:00,18,Ningaloo Marine Park,NA,91,Charlotte Aston,20191101,,Yes,Yes,378,377,423,Cool hammer footage. Not sure about the grandoculis/griseus in these video,2,2,Yes,Yes,20200305,,NA,
18.03,new,113.8082274,-22.06563485,16082019,12:46:00,13:53:00,18,Ningaloo Marine Park,NA,117,Charlotte Aston,20191104,,Yes,Yes,375,376,420,,2,2,Yes,Yes,20200305,,NA,
18.04,new,113.810603,-22.06172601,16082019,12:50:00,14:01:00,18,Ningaloo Marine Park,NA,134,Charlotte Aston,20190830,Brooke,Yes,Yes,367,368,440,Converted wrong. Hammerhead.,2,2 (subfolder),Yes,Yes,20200305,Charlotte Aston,20191205,
18.07,new,113.8281828,-22.06264574,16082019,12:54:00,14:10:00,18,Ningaloo Marine Park,NA,109,Charlotte Aston,20191104,,Yes,Yes,373,374,439,,2,2,Yes,Yes,20200305,,NA,
18.08,new,113.823194,-22.0725328,16082019,12:58:00,14:16:00,18,Ningaloo Marine Park,NA,96,Charlotte Aston,20191104,,Yes,Yes,372,371,564,,2,2,Yes,Yes,20200305,,NA,
19.01,legacy,113.82289,-22.01347,16082019,14:42:00,15:44:00,19,Ningaloo Marine Park,NA,107,Charlotte Aston,20191104,,Yes,Yes,372,371,564,Pelagic BRUVs deployed,2,2,Yes,Yes,20200305,,NA,
19.02,new,113.821531,-22.00792203,16082019,14:44:00,15:53:00,19,Ningaloo Marine Park,NA,122,Charlotte Aston,20191104,,Yes,Yes,373,374,439,Pelagic BRUVs deployed,2,2,Yes,Yes,20200305,,NA,
