Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Observer.length
FH51,-33.90618897,114.8538721,20201013,8:06:00,C.FH.19,South-west,Fished,43,Hayley ,Yes,Yes,Claude
FH52,-33.99118897,114.8888721,20201013,12:36:00,C.FH.24,South-west,Fished,42.1,Hayley ,Yes,Yes,Claude
FH99,-33.95368897,114.8363721,20201013,10:04:00,C.FH.22,South-west,Fished,43.5,Hayley ,Yes,Yes,Claude
FH106,-33.78868897,114.8163721,20201012,13:16:00,C.FH.12,South-west,Fished,47.1,Hayley ,Yes,Yes,Claude
IO236,-34.08118897,114.9238721,20201016,12:22:00,C.IO.1,South-west,No-take,46.8,Hayley ,Yes,Yes,Brooke Gibbons
FH68,-33.95118897,114.8288721,20201013,10:01:00,C.FH.22,South-west,Fished,44.5,Rachel,Yes,Yes,Claude
IO319,-34.09368897,114.7313721,20201022,10:37:00,C.IO.10,South-west,No-take,124,Rachel,Yes,Yes,Claude
IO332,-34.09718333,114.7344833,20201022,10:33:00,C.IO.10,South-west,No-take,124,Rachel,Yes,Yes,Claude
IO272,-34.00868897,114.8138721,20201019,6:56:00,C.IO.21,South-west,Fished,49.2,,Yes,No,
IO333,-34.11301667,114.7251333,20201022,10:01:00,C.IO.9,South-west,No-take,127,Rachel,Yes,Yes,Claude
IO262,-34.01368897,114.8738721,20201019,9:46:00,C.IO.19,South-west,Fished,41.9,Rachel,Yes,Yes,Claude
IO36,-34.10368897,114.7188721,20201022,10:23:00,C.IO.55,South-west,No-take,130,Rachel,Yes,Yes,Claude
IO59,-34.14118897,114.7663721,20201022,7:33:00,C.IO.69,South-west,No-take,109,Rachel,Yes,Yes,Claude
IO66,-34.01618897,114.8813721,20201019,9:36:00,C.IO.19,South-west,Fished,42.8,Rachel,Yes,Yes,Claude
IO74,-34.02868897,114.8513721,20201019,9:14:00,C.IO.60,South-west,Fished,42.2,Rachel,Yes,Yes,Claude
IO75,-34.03368897,114.8538721,20201019,9:10:00,C.IO.60,South-west,Fished,42.2,Rachel,Yes,Yes,Claude
IO228,-34.00368897,114.7938721,20201019,6:46:00,C.IO.42,South-west,Fished,50.4,Rachel,Yes,Yes,Claude
FH2,-33.91868897,114.8913721,20201029,12:43:00,C.FH.21,South-west,Fished,43.9,Daphne,Yes,No,
