"","synonym","genus","species","unacceptreason","scientific","genus_correct","species_correct","family","family_correct"
"107","Abramites hypselonotus ternetzi","Abramites","hypselonotus ternetzi","junior synonym","Abramites hypselonotus","Abramites","hypselonotus","Anostomidae","Anostomidae"
"108","Abramites microcephalus","Abramites","microcephalus","synonym","Abramites hypselonotus","Abramites","hypselonotus","Anostomidae","Anostomidae"
"109","Abramites solarii","Abramites","solarii","junior synonym","Abramites hypselonotus","Abramites","hypselonotus","Anostomidae","Anostomidae"
"110","Abramites ternetzi","Abramites","ternetzi","synonym","Abramites hypselonotus","Abramites","hypselonotus","Anostomidae","Anostomidae"
"111","Leporinus hypselonotus","Leporinus","hypselonotus","synonym","Abramites hypselonotus","Abramites","hypselonotus","Anostomidae","Anostomidae"
"112","Leporinus nigripinnis","Leporinus","nigripinnis",NA,"Abramites hypselonotus","Abramites","hypselonotus","Anostomidae","Anostomidae"
"113","Leporinus salarii","Leporinus","salarii",NA,"Abramites hypselonotus","Abramites","hypselonotus","Anostomidae","Anostomidae"
"114","Leporinus solarii","Leporinus","solarii","synonym","Abramites hypselonotus","Abramites","hypselonotus","Anostomidae","Anostomidae"
"115","Glyphisodon abdominalis","Glyphisodon","abdominalis",NA,"Abudefduf abdominalis","Abudefduf","abdominalis","Pomacentridae","Pomacentridae"
"116","Chaetodon bengalensis","Chaetodon","bengalensis","synonym","Abudefduf bengalensis","Abudefduf","bengalensis","Pomacentridae","Pomacentridae"
"117","Glyphidodon affinis","Glyphidodon","affinis","synonym","Abudefduf bengalensis","Abudefduf","bengalensis","Pomacentridae","Pomacentridae"
"118","Glyphidodon bengalensis","Glyphidodon","bengalensis",NA,"Abudefduf bengalensis","Abudefduf","bengalensis","Pomacentridae","Pomacentridae"
"119","Glyphisodon bengalensis","Glyphisodon","bengalensis",NA,"Abudefduf bengalensis","Abudefduf","bengalensis","Pomacentridae","Pomacentridae"
"120","Glyphisodon palmeri","Glyphisodon","palmeri","synonym","Abudefduf bengalensis","Abudefduf","bengalensis","Pomacentridae","Pomacentridae"
"121","Labrus macrogaster","Labrus","macrogaster","synonym","Abudefduf bengalensis","Abudefduf","bengalensis","Pomacentridae","Pomacentridae"
"122","Euschistodus concolor","Euschistodus","concolor",NA,"Abudefduf concolor","Abudefduf","concolor","Pomacentridae","Pomacentridae"
"123","Nexilarius concolor","Nexilarius","concolor",NA,"Abudefduf concolor","Abudefduf","concolor","Pomacentridae","Pomacentridae"
"124","Pomacentrus robustus","Pomacentrus","robustus",NA,"Abudefduf concolor","Abudefduf","concolor","Pomacentridae","Pomacentridae"
"125","Euschistodus declivifrons","Euschistodus","declivifrons",NA,"Abudefduf declivifrons","Abudefduf","declivifrons","Pomacentridae","Pomacentridae"
"126","Chromis bicolor","Chromis","bicolor",NA,"Abudefduf hoefleri","Abudefduf","hoefleri","Pomacentridae","Pomacentridae"
"127","Gliphydodon hoefleri","Gliphydodon","hoefleri","misspelling","Abudefduf hoefleri","Abudefduf","hoefleri","Pomacentridae","Pomacentridae"
"128","Glyphidodon hoefleri","Glyphidodon","hoefleri",NA,"Abudefduf hoefleri","Abudefduf","hoefleri","Pomacentridae","Pomacentridae"
"129","Heliastes bicolor","Heliastes","bicolor","ambiguous synonym","Abudefduf hoefleri","Abudefduf","hoefleri","Pomacentridae","Pomacentridae"
"130","Abudefduf lorentzi","Abudefduf","lorentzi","misspelling","Abudefduf lorenzi","Abudefduf","lorenzi","Pomacentridae","Pomacentridae"
"131","Abudefduf rhyncholepis","Abudefduf","rhyncholepis",NA,"Abudefduf margariteus","Abudefduf","margariteus","Pomacentridae","Pomacentridae"
"132","Glyphidodon maculipinnis","Glyphidodon","maculipinnis",NA,"Abudefduf margariteus","Abudefduf","margariteus","Pomacentridae","Pomacentridae"
"133","Glyphidodon rhyncholepis","Glyphidodon","rhyncholepis",NA,"Abudefduf margariteus","Abudefduf","margariteus","Pomacentridae","Pomacentridae"
"134","Glyphisodon margariteus","Glyphisodon","margariteus",NA,"Abudefduf margariteus","Abudefduf","margariteus","Pomacentridae","Pomacentridae"
"135","Abudefduf clarki","Abudefduf","clarki",NA,"Abudefduf notatus","Abudefduf","notatus","Pomacentridae","Pomacentridae"
"136","Chrysiptera paucifasciata","Chrysiptera","paucifasciata",NA,"Abudefduf notatus","Abudefduf","notatus","Pomacentridae","Pomacentridae"
"137","Glyphidodon notatus","Glyphidodon","notatus",NA,"Abudefduf notatus","Abudefduf","notatus","Pomacentridae","Pomacentridae"
"138","Indoglyphidodon abbotti","Indoglyphidodon","abbotti",NA,"Abudefduf notatus","Abudefduf","notatus","Pomacentridae","Pomacentridae"
