Sample,Latitude,Longitude,Location,Status,Site,Depth,Observer.count,Successful.count,Successful.length,Observer.length,Date.time
IO225,-34.07118897,114.8338721,South-west,No-take,C.IO.4,44.9,Hayley,Yes,Yes,Claude,2020-10-15T06:20:00Z
IO239,-34.09118897,114.9313721,South-west,No-take,C.IO.1,45.9,Hayley,Yes,Yes,Claude,2020-10-16T04:05:00Z
IO73,-34.02868897,114.8588721,South-west,Fished,C.IO.60,40.4,Ramesh,Yes,No,NA,2020-10-19T01:22:00Z
IO266,-34.02118897,114.7588721,South-west,Fished,C.IO.23,67.3,Hayley,Yes,Yes,Claude,2020-10-15T00:06:00Z
IO325,-33.991557,114.743378,South-west,Fished,C.IO.25,85,Hayley,Yes,Yes,Claude,2020-10-14T23:44:00Z
IO327,-34.02946667,114.7623833,South-west,Fished,C.IO.23,65.4,Hayley,Yes,Yes,Claude,2020-10-15T00:17:00Z
IO334,-34.06155,114.7753667,South-west,No-take,C.IO.8,64,Hayley,Yes,Yes,Claude,2020-10-15T02:11:00Z
IO353,-34.05436667,114.8390667,South-west,No-take,C.IO.5,44.1,Hayley,Yes,Yes,Claude,2020-10-15T06:43:00Z
FH16,-33.90118897,114.8563721,South-west,Fished,C.FH.19,43.1,Hayley,Yes,No,Rachel,2020-10-13T00:02:00Z
FH25,-33.87868897,114.8163721,South-west,Fished,C.FH.16,45.4,Hayley,Yes,Yes,Claude,2020-10-12T23:34:00Z
FH47,-33.90618897,114.8488721,South-west,Fished,C.FH.19,43.5,Hayley,Yes,Yes,Claude,2020-10-13T00:09:00Z
FH51,-33.90618897,114.8538721,South-west,Fished,C.FH.19,43,Hayley,Yes,Yes,Claude,2020-10-13T00:06:00Z
FH52,-33.99118897,114.8888721,South-west,Fished,C.FH.24,42.1,Hayley,Yes,Yes,Claude,2020-10-13T04:36:00Z
FH99,-33.95368897,114.8363721,South-west,Fished,C.FH.22,43.5,Hayley,Yes,Yes,Claude,2020-10-13T02:04:00Z
FH106,-33.78868897,114.8163721,South-west,Fished,C.FH.12,47.1,Hayley,Yes,Yes,Claude,2020-10-12T05:16:00Z
IO236,-34.08118897,114.9238721,South-west,No-take,C.IO.1,46.8,Hayley,Yes,Yes,Brooke Gibbons,2020-10-16T04:22:00Z
FH68,-33.95118897,114.8288721,South-west,Fished,C.FH.22,44.5,Rachel,Yes,Yes,Claude,2020-10-13T02:01:00Z
IO319,-34.09368897,114.7313721,South-west,No-take,C.IO.10,124,Rachel,Yes,Yes,Claude,2020-10-22T02:37:00Z
IO332,-34.09718333,114.7344833,South-west,No-take,C.IO.10,124,Rachel,Yes,Yes,Claude,2020-10-22T02:33:00Z
IO272,-34.00868897,114.8138721,South-west,Fished,C.IO.21,49.2,NA,Yes,No,NA,2020-10-18T22:56:00Z
IO333,-34.11301667,114.7251333,South-west,No-take,C.IO.9,127,Rachel,Yes,Yes,Claude,2020-10-22T02:01:00Z
IO262,-34.01368897,114.8738721,South-west,Fished,C.IO.19,41.9,Rachel,Yes,Yes,Claude,2020-10-19T01:46:00Z
IO36,-34.10368897,114.7188721,South-west,No-take,C.IO.55,130,Rachel,Yes,Yes,Claude,2020-10-22T02:23:00Z
IO59,-34.14118897,114.7663721,South-west,No-take,C.IO.69,109,Rachel,Yes,Yes,Claude,2020-10-21T23:33:00Z
IO66,-34.01618897,114.8813721,South-west,Fished,C.IO.19,42.8,Rachel,Yes,Yes,Claude,2020-10-19T01:36:00Z
IO74,-34.02868897,114.8513721,South-west,Fished,C.IO.60,42.2,Rachel,Yes,Yes,Claude,2020-10-19T01:14:00Z
IO75,-34.03368897,114.8538721,South-west,Fished,C.IO.60,42.2,Rachel,Yes,Yes,Claude,2020-10-19T01:10:00Z
IO228,-34.00368897,114.7938721,South-west,Fished,C.IO.42,50.4,Rachel,Yes,Yes,Claude,2020-10-18T22:46:00Z
FH2,-33.91868897,114.8913721,South-west,Fished,C.FH.21,43.9,Daphne,Yes,No,NA,2020-10-29T04:43:00Z
IO259,-33.96868897,114.9213721,South-west,Fished,C.IO.20,46.8,Rachel,Yes,Yes,Claude,2020-10-19T04:00:00Z
IO260,-33.97118897,114.9163721,South-west,Fished,C.IO.20,46.3,Rachel,Yes,Yes,Claude,2020-10-19T03:55:00Z
IO273,-33.99868897,114.8213721,South-west,Fished,C.IO.22,44.9,Rachel,Yes,Yes,Claude,2020-10-18T23:07:00Z
FH40,-33.92368897,114.8888721,South-west,Fished,C.FH.21,42.9,Daphne,Yes,No,NA,2020-10-29T04:40:00Z
IO308,-34.11118897,114.7288721,South-west,No-take,C.IO.9,126,Rachel,Yes,Yes,Claude,2020-10-22T02:06:00Z
IO328,-33.99356667,114.8213667,South-west,Fished,C.IO.22,43.8,Rachel,Yes,Yes,Claude,2020-10-18T23:13:00Z
IO377,-34.13868897,114.7588721,South-west,No-take,C.IO.69,113,Rachel,Yes,Yes,Claude,2020-10-21T23:40:00Z
FH11,-33.89868897,114.9388721,South-west,Fished,C.FH.18,42.3,Rachel,Yes,Yes,Claude,2020-10-29T06:48:00Z
