"species","trophic_level","se","metric"
"Naso brevirostris","2.2","0.15","based on food items"
"Naso fageni","2.2","0.1","based on size and trophs of closest relative"
"Naso hexacanthus","3.1","0.33","based on food items"
"Naso lituratus","2.3","0.19","based on food items"
"Naso lopezi","2.9","0.33","based on food items"
"Naso unicornis","2.2","0.11","based on food items"
"Naso vlamingii","2.2","0.11","based on food items"
"Paracanthurus hepatus","3.4","0.45","based on food items"
"Prionurus maculatus","2.0","0.00","based on food items"
"Prionurus microlepidotus","2.7","0.30","based on food items"
"Zebrasoma scopas","2.0","0.00","based on food items"
"Zebrasoma velifer","2.0","0.00","based on food items"
"Naso maculatus","2.3","0.1","based on size and trophs of closest relative"
"Naso thynnoides","3.0","0.32","based on food items"
"Acanthurus maculiceps","2.0","0.00","based on food items"
"Naso minor","2.6","0.29","based on food items"
"Acanthurus fowleri","2.0","0.1","based on size and trophs of closest relative"
"Naso caeruleacauda","2.3","0.1","based on size and trophs of closest relative"
"Naso caesius","2.3","0.1","based on size and trophs of closest relative"
"Naso tonganus","2.0","0.00","based on food items"
"Naso tuberosus","2.0","0.00","based on food items"
"Naso reticulatus","2.3","0.1","based on size and trophs of closest relative"
"Siganus fuscescens","2.0","0.1","based on diet studies"
"Siganus punctatus","2.0","0.00","based on food items"
"Siganus canaliculatus","2.8","0.31","based on food items"
"Siganus javus","2.4","0.08","based on food items"
"Siganus vermiculatus","2.0","0.00","based on food items"
"Siganus argenteus","2.0","0.0","based on diet studies"
"Siganus corallinus","2.0","0.0","based on diet studies"
"Siganus doliatus","2.0","0.00","based on food items"
"Siganus lineatus","2.0","0.00","based on food items"
"Siganus puellus","3.0","0.00","based on food items"
"Siganus punctatissimus","2.0","0.00","based on food items"
"Siganus spinus","2.0","0.03","based on food items"
"Siganus unimaculatus","2.7","0.30","based on food items"
"Siganus virgatus","2.7","0.31","based on food items"
"Siganus vulpinus","2.7","0.30","based on food items"
"Siganus stellatus","2.7","0.30","based on food items"
"Thyrsites atun","3.6","0.3","based on diet studies"
"Rexea solandri","4.3","0.66","based on food items"
"Ruvettus pretiosus","4.2","0.57","based on food items"
"Neoepinnula orientalis","4.2","0.58","based on food items"
"Paradiplospinus gracilis","4.5","0.7","based on diet studies"
"Rexea prometheoides","4.2","0.59","based on food items"
"Rexea bengalensis","4.5","0.37","based on food items"
"Lepidocybium flavobrunneum","4.3","0.67","based on food items"
"Rexea antefurcata","4.4","0.74","based on food items"
"Gempylus serpens","4.4","0.70","based on food items"
"Nealotus tripes","4.2","0.73","based on food items"
"Nesiarchus nasutus","4.3","0.71","based on food items"
"Promethichthys prometheus","4.2","0.57","based on food items"
"Rexichthys johnpaxtoni","3.8","0.5","based on size and trophs of closest relative"
"Scombrolabrax heterolepis","4.0","0.65","based on food items"
"Thyrsitoides marleyi","4.2","0.58","based on food items"
"Diplospinus multistriatus","3.5","0.52","based on food items"
"Tongaichthys robustus","3.9","0.6","based on size and trophs of closest relative"
"Benthodesmus elongatus","3.9","0.66","based on food items"
"Lepidopus caudatus","3.8","0.3","based on diet studies"
"Trichiurus lepturus","4.4","0.4","based on diet studies"
"Tentoriceps cristatus","4.2","0.58","based on food items"
"Assurger anzac","4.5","0.69","based on food items"
"Benthodesmus vityazi","4.1","0.7","based on size and trophs of closest relative"
"Lepturacanthus savala","4.3","0.76","based on food items"
"Aphanopus capricornis","4.1","0.7","based on size and trophs of closest relative"
"Benthodesmus tuckeri","4.1","0.7","based on size and trophs of closest relative"
"Aphanopus beckeri","4.1","0.7","based on size and trophs of closest relative"
"Aphanopus mikhailini","4.1","0.7","based on size and trophs of closest relative"
"Trichiurus nickolensis","4.1","0.7","based on size and trophs of closest relative"
"Trichiurus auriga","4.2","0.73","based on food items"
"Benthodesmus macrophthalmus","4.0","0.7","based on size and trophs of closest relative"
"Trichiurus australis","4.1","0.7","based on size and trophs of closest relative"
"Scomber australasicus","4.2","0.5","based on diet studies"
"Thunnus albacares","4.4","0.4","based on diet studies"
"Katsuwonus pelamis","4.4","0.5","based on diet studies"
"Thunnus maccoyii","3.9","0.53","based on food items"
"Thunnus alalunga","4.3","0.2","based on diet studies"
"Sarda orientalis","4.2","0.69","based on food items"
"Scomberomorus commerson","4.5","0.4","based on diet studies"
"Cybiosarda elegans","4.0","0.7","based on size and trophs of closest relative"
"Auxis thazard","4.4","0.4","based on diet studies"
"Euthynnus affinis","4.5","0.0","based on diet studies"
"Thunnus obesus","4.5","0.0","based on diet studies"
"Rastrelliger kanagurta","3.2","0.38","based on food items"
"Thunnus tonggol","4.5","0.6","based on diet studies"
"Scomberomorus queenslandicus","4.5","0.8","based on diet studies"
"Scomberomorus munroi","4.3","0.76","based on food items"
"Scomberomorus semifasciatus","4.5","0.80","based on food items"
"Gasterochisma melampus","4.4","0.57","based on food items"
"Sarda australis","4.5","0.80","based on food items"
"Allothunnus fallai","3.7","0.1","based on diet studies"
"Acanthocybium solandri","4.3","0.2","based on diet studies"
"Grammatorcynus bicarinatus","4.5","0.80","based on food items"
"Thunnus orientalis","4.5","0.3","based on size and trophs of closest relative"
"Auxis rochei","4.4","0.61","based on food items"
"Grammatorcynus bilineatus","4.2","0.69","based on food items"
"Gymnosarda unicolor","4.5","0.75","based on food items"
"Scomberomorus multiradiatus","4.0","0.5","based on size and trophs of closest relative"
"Xiphias gladius","4.5","0.2","based on diet studies"
"Luvarus imperialis","3.8","0.46","based on food items"
"Kajikia audax","4.5","0.73","based on food items"
"Makaira nigricans","4.5","0.3","based on diet studies"
"Istiompax indica","4.5","0.4","based on diet studies"
"Tetrapturus angustirostris","4.5","0.76","based on food items"
"Hyperoglyphe antarctica","4.0","0.57","based on food items"
"Tubbia tasmanica","3.8","0.6","based on size and trophs of closest relative"
"Schedophilus huttoni","4.1","0.6","based on size and trophs of closest relative"
"Centrolophus niger","3.9","0.38","based on food items"
"Seriolella brama","3.7","0.43","based on food items"
"Seriolella punctata","3.5","0.41","based on food items"
"Psenopsis humerosa","3.5","0.5","based on size and trophs of closest relative"
"Seriolella caerulea","3.2","0.33","based on food items"
"Schedophilus velaini","4.2","0.57","based on food items"
"Icichthys australis","3.8","0.6","based on size and trophs of closest relative"
"Psenopsis obscura","3.5","0.5","based on size and trophs of closest relative"
"Schedophilus maculatus","3.3","0.46","based on food items"
"Tubbia stewarti","3.8","0.6","based on size and trophs of closest relative"
"Psenes pellucidus","3.9","0.53","based on food items"
"Cubiceps baxteri","3.4","0.4","based on diet studies"
"Cubiceps pauciradiatus","3.6","0.2","based on diet studies"
"Nomeus gronovii","3.7","0.38","based on food items"
"Cubiceps caeruleus","3.6","0.0","based on diet studies"
"Psenes arafurensis","3.5","0.5","based on size and trophs of closest relative"
"Amarsipus carlsbergi","3.8","0.2","based on size and trophs of closest relative"
"Cubiceps whiteleggii","3.5","0.0","based on diet studies"
"Psenes cyanophrys","3.4","0.46","based on food items"
"Cubiceps capensis","3.5","0.0","based on diet studies"
"Cubiceps kotlyari","3.2","0.3","based on size and trophs of closest relative"
"Ariomma lurida","3.6","0.5","based on size and trophs of closest relative"
"Ariomma indica","3.6","0.50","based on food items"
"Tetragonurus cuvieri","3.8","0.35","based on food items"
"Tetragonurus pacificus","3.7","0.4","based on size and trophs of closest relative"
"Psettodes erumei","4.4","0.3","based on diet studies"
"Brachypleura novaezeelandiae","3.5","0.37","based on food items"
"Citharoides orbitalis","3.6","0.4","based on size and trophs of closest relative"
"Citharoides macrolepidotus","3.5","0.37","based on food items"
"Lepidoblepharon ophthalmolepis","3.5","0.37","based on food items"
"Citharoides macrolepis","3.6","0.4","based on size and trophs of closest relative"
"Lophonectes gallus","3.5","0.37","based on food items"
"Pseudorhombus jenynsii","3.5","0.37","based on food items"
"Pseudorhombus dupliciocellatus","4.2","0.73","based on food items"
"Kamoharaia megastoma","3.6","0.4","based on size and trophs of closest relative"
"Pseudorhombus elevatus","3.5","0.37","based on food items"
"Pseudorhombus arsius","4.2","0.7","based on diet studies"
"Grammatobothus polyophthalmus","3.6","0.0","based on diet studies"
"Pseudorhombus spinosus","3.5","0.37","based on food items"
"Engyprosopon grandisquama","3.1","0.0","based on diet studies"
"Engyprosopon maldivense","3.6","0.4","based on size and trophs of closest relative"
"Pseudorhombus diplospilus","3.5","0.37","based on food items"
"Grammatobothus pennatus","3.5","0.37","based on food items"
"Psettina iijimae","3.7","0.53","based on food items"
"Crossorhombus azureus","3.5","0.37","based on food items"
"Arnoglossus elongatus","3.5","0.37","based on food items"
"Engyprosopon praeteritus","3.5","0.4","based on size and trophs of closest relative"
"Laeops parviceps","3.5","0.37","based on food items"
"Engyprosopon osculus","3.5","0.4","based on size and trophs of closest relative"
"Pseudorhombus quinquocellatus","3.5","0.37","based on food items"
"Psettina tosana","3.6","0.4","based on size and trophs of closest relative"
"Arnoglossus andrewsi","3.7","0.4","based on size and trophs of closest relative"
"Arnoglossus armstrongi","3.6","0.4","based on size and trophs of closest relative"
"Arnoglossus bassensis","3.6","0.4","based on size and trophs of closest relative"
"Arnoglossus muelleri","3.6","0.4","based on size and trophs of closest relative"
"Pseudorhombus tenuirastrum","3.5","0.37","based on food items"
"Psettina gigantea","3.7","0.4","based on size and trophs of closest relative"
"Arnoglossus japonicus","3.5","0.37","based on food items"
"Pseudorhombus megalops","3.5","0.44","based on food items"
"Pseudorhombus argus","3.5","0.37","based on food items"
"Engyprosopon latifrons","3.4","0.4","based on size and trophs of closest relative"
"Bothus myriaster","3.5","0.37","based on food items"
"Arnoglossus fisoni","3.5","0.37","based on food items"
"Arnoglossus tenuis","3.5","0.37","based on food items"
"Arnoglossus waitei","3.5","0.37","based on food items"
"Asterorhombus intermedius","4.2","0.0","based on diet studies"
"Bothus mancus","4.4","0.0","based on diet studies"
"Bothus pantherinus","3.5","0.37","based on food items"
"Chascanopsetta lugubris","3.5","0.37","based on food items"
"Engyprosopon bleekeri","3.5","0.4","based on size and trophs of closest relative"
"Neoachiropsetta milfordi","3.9","0.62","based on food items"
"Parabothus kiensis","3.9","0.60","based on food items"
"Asterorhombus cocosensis","3.6","0.59","based on food items"
"Arnoglossus micrommatus","3.5","0.4","based on size and trophs of closest relative"
"Pseudorhombus neglectus","3.5","0.37","based on food items"
"Psettina senta","3.5","0.4","based on size and trophs of closest relative"
"Psettina variegata","3.5","0.37","based on food items"
"Arnoglossus macrolophus","3.5","0.37","based on food items"
"Taeniopsetta ocellata","3.5","0.4","based on size and trophs of closest relative"
"Pseudorhombus triocellatus","3.5","0.37","based on food items"
"Crossorhombus valderostratus","3.5","0.4","based on size and trophs of closest relative"
"Engyprosopon hureaui","3.3","0.4","based on size and trophs of closest relative"
"Engyprosopon longipterum","3.5","0.4","based on size and trophs of closest relative"
"Cephalopsetta ventrocellata","3.7","0.5","based on size and trophs of closest relative"
"Arnoglossus polyspilus","3.5","0.37","based on food items"
"Arnoglossus nigrifrons","3.6","0.4","based on size and trophs of closest relative"
"Bothus swio","3.7","0.5","based on size and trophs of closest relative"
"Japonolaeops dentatus","3.6","0.4","based on size and trophs of closest relative"
"Neolaeops microphthalmus","3.6","0.4","based on size and trophs of closest relative"
"Parabothus coarctatus","3.5","0.37","based on food items"
"Parabothus taiwanensis","3.6","0.5","based on size and trophs of closest relative"
"Tosarhombus longimanus","3.5","0.4","based on size and trophs of closest relative"
"Parabothus polylepis","3.5","0.5","based on size and trophs of closest relative"
"Asterorhombus filifer","3.5","0.4","based on size and trophs of closest relative"
"Ammotretis rostratus","3.1","0.26","based on food items"
"Azygopus pinnifasciatus","3.1","0.2","based on size and trophs of closest relative"
"Rhombosolea tapirina","3.1","0.3","based on size and trophs of closest relative"
"Ammotretis lituratus","3.0","0.1","based on size and trophs of closest relative"
"Samaris cristatus","3.5","0.37","based on food items"
"Ammotretis elongatus","3.0","0.0","based on diet studies"
"Psammodiscus ocellatus","3.1","0.2","based on size and trophs of closest relative"
"Taratretis derwentensis","3.0","0.2","based on size and trophs of closest relative"
"Ammotretis macrolepis","3.0","0.1","based on size and trophs of closest relative"
"Samariscus huysmani","3.5","0.37","based on food items"
"Ammotretis brevipinnis","3.0","0.1","based on size and trophs of closest relative"
"Nematops macrochirus","3.5","0.37","based on food items"
"Nematops microstoma","3.5","0.37","based on food items"
"Poecilopsetta plinthus","3.5","0.37","based on food items"
"Poecilopsetta praelonga","3.5","0.37","based on food items"
"Samariscus triocellatus","3.5","0.37","based on food items"
"Plagiopsetta glossa","3.5","0.37","based on food items"
"Samaris macrolepis","3.5","0.37","based on food items"
"Poecilopsetta colorata","3.5","0.37","based on food items"
"Poecilopsetta natalensis","3.5","0.37","based on food items"
"Poecilopsetta macrocephala","3.4","0.4","based on size and trophs of closest relative"
"Samariscus sunieri","3.5","0.37","based on food items"
"Aesopia cornuta","3.5","0.4","based on size and trophs of closest relative"
"Aseraggodes normani","3.6","0.5","based on size and trophs of closest relative"
"Zebrias craticulus","3.5","0.4","based on size and trophs of closest relative"
"Zebrias quagga","3.5","0.37","based on food items"
"Phyllichthys punctatus","3.5","0.4","based on size and trophs of closest relative"
"Zebrias cancellatus","3.6","0.5","based on size and trophs of closest relative"
"Dexillus muelleri","3.4","0.4","based on size and trophs of closest relative"
"Pardachirus pavoninus","3.1","0.26","based on food items"
"Zebrias scalaris","3.5","0.4","based on size and trophs of closest relative"
"Brachirus annularis","3.5","0.4","based on size and trophs of closest relative"
"Soleichthys heterorhinos","3.5","0.4","based on size and trophs of closest relative"
"Aseraggodes melanostictus","3.3","0.5","based on size and trophs of closest relative"
"Brachirus niger","3.7","0.4","based on size and trophs of closest relative"
"Synclidopus macleayanus","3.5","0.4","based on size and trophs of closest relative"
"Aseraggodes haackeanus","3.6","0.5","based on size and trophs of closest relative"
"Leptachirus klunzingeri","3.3","0.4","based on size and trophs of closest relative"
"Brachirus breviceps","3.6","0.4","based on size and trophs of closest relative"
"Brachirus fitzroiensis","3.6","0.4","based on size and trophs of closest relative"
"Brachirus orientalis","3.5","0.37","based on food items"
"Pardachirus hedleyi","3.2","0.3","based on size and trophs of closest relative"
"Phyllichthys sclerolepis","3.5","0.4","based on size and trophs of closest relative"
"Rendahlia jaubertensis","3.4","0.4","based on size and trophs of closest relative"
"Soleichthys microcephalus","3.5","0.4","based on size and trophs of closest relative"
"Brachirus aspilos","3.7","0.4","based on size and trophs of closest relative"
"Zebrias penescalaris","3.5","0.4","based on size and trophs of closest relative"
"Zebrias munroi","3.5","0.4","based on size and trophs of closest relative"
"Aseraggodes lenisquamis","3.6","0.5","based on size and trophs of closest relative"
"Liachirus whitleyi","3.4","0.4","based on size and trophs of closest relative"
"Heteromycteris hartzfeldii","3.5","0.4","based on size and trophs of closest relative"
"Phyllichthys sejunctus","3.5","0.4","based on size and trophs of closest relative"
"Zebrias japonica","3.5","0.4","based on size and trophs of closest relative"
"Soleichthys maculosus","3.3","0.4","based on size and trophs of closest relative"
"Soleichthys serpenpellis","3.4","0.4","based on size and trophs of closest relative"
"Soleichthys oculofasciatus","3.4","0.4","based on size and trophs of closest relative"
"Aseraggodes dubius","3.5","0.5","based on size and trophs of closest relative"
"Aseraggodes nigrocirratus","3.5","0.5","based on size and trophs of closest relative"
"Aseraggodes pelvicus","3.4","0.5","based on size and trophs of closest relative"
"Aseraggodes corymbus","3.5","0.5","based on size and trophs of closest relative"
"Aseraggodes crypticus","3.3","0.5","based on size and trophs of closest relative"
"Zebrias callizona","3.5","0.4","based on size and trophs of closest relative"
"Paraplagusia bilineata","3.5","0.4","based on size and trophs of closest relative"
"Paraplagusia longirostris","3.5","0.4","based on size and trophs of closest relative"
"Cynoglossus maculipinnis","3.4","0.4","based on size and trophs of closest relative"
"Cynoglossus kopsii","3.6","0.4","based on size and trophs of closest relative"
"Paraplagusia blochii","3.4","0.4","based on size and trophs of closest relative"
"Cynoglossus macrophthalmus","3.5","0.4","based on size and trophs of closest relative"
"Cynoglossus bilineatus","3.9","0.32","based on food items"
"Cynoglossus broadhursti","3.4","0.4","based on size and trophs of closest relative"
"Cynoglossus heterolepis","3.5","0.4","based on size and trophs of closest relative"
"Cynoglossus ogilbyi","3.4","0.4","based on size and trophs of closest relative"
"Cynoglossus puncticeps","3.5","0.41","based on food items"
"Symphurus australis","3.3","0.4","based on size and trophs of closest relative"
"Paraplagusia sinerama","3.5","0.4","based on size and trophs of closest relative"
"Symphurus microrhynchus","3.2","0.4","based on size and trophs of closest relative"
"Cynoglossus maccullochi","3.5","0.4","based on size and trophs of closest relative"
"Cynoglossus suyeni","3.5","0.4","based on size and trophs of closest relative"
"Trixiphichthys weberi","3.5","0.37","based on food items"
"Triacanthus biaculeatus","2.8","0.29","based on food items"
"Triacanthodes ethiops","4.1","0.7","based on size and trophs of closest relative"
"Macrorhamphosodes platycheilus","4.2","0.8","based on size and trophs of closest relative"
"Tripodichthys blochii","3.5","0.37","based on food items"
"Tripodichthys angustifrons","3.5","0.37","based on food items"
"Pseudotriacanthus strigilifer","2.5","0.20","based on food items"
"Triacanthus nieuhofii","3.5","0.37","based on food items"
"Bathyphylax bombifrons","4.1","0.7","based on size and trophs of closest relative"
"Halimochirurgus alcocki","4.7","0.8","based on size and trophs of closest relative"
"Halimochirurgus centriscoides","4.3","0.8","based on size and trophs of closest relative"
"Macrorhamphosodes uradoi","4.4","0.81","based on food items"
"Paratriacanthodes retrospinis","4.3","0.8","based on size and trophs of closest relative"
"Tydemania navigatoris","4.4","0.80","based on food items"
"Hollardia goslinei","4.4","0.8","based on size and trophs of closest relative"
"Acanthaluteres brownii","2.8","0.4","based on size and trophs of closest relative"
"Acanthaluteres vittiger","2.0","0.00","based on food items"
"Eubalichthys mosaicus","2.8","0.4","based on size and trophs of closest relative"
"Meuschenia hippocrepis","2.8","0.4","based on size and trophs of closest relative"
"Nelusetta ayraud","3.7","0.60","based on food items"
"Scobinichthys granulatus","2.8","0.4","based on size and trophs of closest relative"
"Meuschenia australis","2.8","0.4","based on size and trophs of closest relative"
"Monacanthus chinensis","2.4","0.1","based on diet studies"
"Anacanthus barbatus","2.8","0.4","based on size and trophs of closest relative"
"Abalistes stellatus","3.6","0.0","based on diet studies"
"Thamnaconus hypargyreus","3.4","0.44","based on food items"
"Chaetodermis penicilligerus","2.8","0.4","based on size and trophs of closest relative"
"Sufflamen fraenatum","3.7","0.2","based on diet studies"
"Xanthichthys lineopunctatus","3.5","0.3","based on size and trophs of closest relative"
"Paramonacanthus oblongus","3.5","0.37","based on food items"
"Eubalichthys caeruleoguttatus","2.8","0.4","based on size and trophs of closest relative"
"Thamnaconus striatus","3.4","0.4","based on size and trophs of closest relative"
"Pseudomonacanthus peroni","2.8","0.4","based on size and trophs of closest relative"
"Aluterus monoceros","3.8","0.0","based on diet studies"
"Arotrolepis filicauda","2.9","0.4","based on size and trophs of closest relative"
"Brachaluteres jacksonianus","2.9","0.4","based on size and trophs of closest relative"
"Thamnaconus tessellatus","3.5","0.4","based on size and trophs of closest relative"
"Pseudobalistes fuscus","4.0","0.0","based on diet studies"
"Rhinecanthus aculeatus","3.2","0.1","based on diet studies"
"Pseudomonacanthus elongatus","2.8","0.4","based on size and trophs of closest relative"
"Paramonacanthus pusillus","3.2","0.3","based on size and trophs of closest relative"
"Balistoides conspicillum","3.3","0.39","based on food items"
"Eubalichthys quadrispinis","2.8","0.4","based on size and trophs of closest relative"
"Eubalichthys gunnii","2.8","0.4","based on size and trophs of closest relative"
"Meuschenia flavolineata","2.8","0.4","based on size and trophs of closest relative"
"Meuschenia freycineti","2.0","0.00","based on food items"
"Thamnaconus degeni","3.5","0.4","based on size and trophs of closest relative"
"Thamnaconus modestoides","3.5","0.4","based on size and trophs of closest relative"
"Eubalichthys bucephalus","2.8","0.4","based on size and trophs of closest relative"
"Meuschenia galii","2.8","0.4","based on size and trophs of closest relative"
"Cantherhines fronticinctus","3.5","0.37","based on food items"
"Acreichthys tomentosus","3.0","0.39","based on food items"
"Acanthaluteres spilomelanurus","2.9","0.4","based on size and trophs of closest relative"
"Acreichthys radiatus","2.9","0.4","based on size and trophs of closest relative"
"Aluterus scriptus","2.8","0.4","based on diet studies"
"Amanses scopas","2.9","0.4","based on size and trophs of closest relative"
"Balistapus undulatus","3.4","0.42","based on food items"
"Balistoides viridescens","3.3","0.44","based on food items"
"Brachaluteres taylori","2.9","0.4","based on size and trophs of closest relative"
"Cantherhines dumerilii","3.1","0.33","based on food items"
"Cantherhines pardalis","3.5","0.37","based on food items"
"Cantheschenia grandisquamis","2.8","0.4","based on size and trophs of closest relative"
"Cantheschenia longipinnis","2.9","0.4","based on size and trophs of closest relative"
"Colurodontis paxmani","2.9","0.4","based on size and trophs of closest relative"
"Eubalichthys cyanoura","2.8","0.4","based on size and trophs of closest relative"
"Melichthys vidua","3.4","0.39","based on food items"
"Meuschenia trachylepis","2.8","0.4","based on size and trophs of closest relative"
"Meuschenia venusta","2.9","0.4","based on size and trophs of closest relative"
"Odonus niger","3.4","0.41","based on food items"
"Oxymonacanthus longirostris","3.3","0.6","based on diet studies"
"Paraluteres prionurus","2.7","0.44","based on food items"
"Paramonacanthus choirocephalus","3.1","0.3","based on size and trophs of closest relative"
"Paramonacanthus otisensis","3.1","0.3","based on size and trophs of closest relative"
"Pervagor alternans","2.9","0.4","based on size and trophs of closest relative"
"Pervagor aspricaudus","2.9","0.4","based on size and trophs of closest relative"
"Pervagor janthinosoma","2.9","0.4","based on size and trophs of closest relative"
"Pervagor melanocephalus","2.9","0.4","based on size and trophs of closest relative"
"Pervagor nigrolineatus","2.9","0.4","based on size and trophs of closest relative"
"Pseudobalistes flavimarginatus","2.8","0.26","based on food items"
"Rhinecanthus lunula","3.5","0.3","based on size and trophs of closest relative"
"Rhinecanthus rectangulus","3.5","0.3","based on diet studies"
"Rhinecanthus verrucosus","3.5","0.3","based on size and trophs of closest relative"
"Rudarius excelsus","3.0","0.4","based on size and trophs of closest relative"
"Rudarius minutus","2.9","0.4","based on size and trophs of closest relative"
"Sufflamen bursa","2.9","0.0","based on diet studies"
"Sufflamen chrysopterum","3.8","0.20","based on food items"
"Xanthichthys auromarginatus","3.0","0.00","based on food items"
"Melichthys niger","2.4","0.0","based on diet studies"
"Pseudalutarius nasicornis","3.1","0.0","based on diet studies"
"Paramonacanthus lowei","3.2","0.3","based on size and trophs of closest relative"
"Canthidermis maculata","3.5","0.45","based on food items"
"Xanthichthys caeruleolineatus","3.5","0.3","based on size and trophs of closest relative"
"Xenobalistes tumidipectoris","3.2","0.4","based on size and trophs of closest relative"
"Abalistes filamentosus","3.4","0.4","based on size and trophs of closest relative"
"Rhinecanthus abyssus","3.5","0.3","based on size and trophs of closest relative"
"Aracana ornata","3.3","0.5","based on size and trophs of closest relative"
"Anoplocapros inermis","3.4","0.5","based on size and trophs of closest relative"
"Aracana aurita","3.3","0.5","based on size and trophs of closest relative"
"Lactoria cornuta","3.5","0.37","based on food items"
"Rhynchostracion nasus","3.2","0.3","based on size and trophs of closest relative"
"Tetrosomus gibbosus","3.5","0.37","based on food items"
"Lactoria diaphana","3.3","0.0","based on diet studies"
"Tetrosomus reipublicae","3.5","0.37","based on food items"
"Ostracion rhinorhynchos","3.5","0.37","based on food items"
"Anoplocapros lenticularis","3.4","0.5","based on size and trophs of closest relative"
"Capropygia unistriata","3.3","0.5","based on size and trophs of closest relative"
"Ostracion cubicum","3.4","0.48","based on food items"
"Caprichthys gymnura","3.3","0.5","based on size and trophs of closest relative"
"Anoplocapros amygdaloides","3.4","0.5","based on size and trophs of closest relative"
"Lactoria fornasini","3.0","0.0","based on diet studies"
"Ostracion meleagris","2.7","0.00","based on food items"
"Ostracion solorense","3.2","0.5","based on size and trophs of closest relative"
"Polyplacapros tyleri","3.3","0.5","based on size and trophs of closest relative"
"Kentrocapros flavofasciatus","3.5","0.37","based on food items"
"Contusus richei","3.4","0.2","based on size and trophs of closest relative"
"Omegophora armilla","3.4","0.2","based on size and trophs of closest relative"
"Tetractenos glaber","3.3","0.2","based on size and trophs of closest relative"
"Sphoeroides pachygaster","4.2","0.73","based on food items"
"Arothron firmamentum","3.4","0.5","based on size and trophs of closest relative"
"Lagocephalus sceleratus","3.7","0.4","based on diet studies"
"Lagocephalus inermis","3.9","0.4","based on size and trophs of closest relative"
"Torquigener pallimaculatus","3.4","0.2","based on size and trophs of closest relative"
"Feroxodon multistriatus","4.0","0.62","based on food items"
"Lagocephalus lunaris","3.7","0.4","based on size and trophs of closest relative"
"Canthigaster cyanospilota","3.1","0.4","based on size and trophs of closest relative"
"Arothron stellatus","3.7","0.2","based on diet studies"
"Chelonodontops patoca","3.1","0.40","based on food items"
"Lagocephalus spadiceus","3.7","0.4","based on size and trophs of closest relative"
"Canthigaster rivulata","3.1","0.4","based on size and trophs of closest relative"
"Arothron manilensis","3.8","0.0","based on diet studies"
"Arothron reticularis","3.4","0.5","based on size and trophs of closest relative"
"Tylerius spinosissimus","3.3","0.2","based on size and trophs of closest relative"
"Lagocephalus lagocephalus","3.7","0.40","based on food items"
"Torquigener hicksi","3.3","0.2","based on size and trophs of closest relative"
"Arothron nigropunctatus","3.4","0.5","based on diet studies"
"Torquigener whitleyi","3.3","0.2","based on size and trophs of closest relative"
"Torquigener parcuspinus","3.3","0.2","based on size and trophs of closest relative"
"Torquigener pleurogramma","3.4","0.2","based on size and trophs of closest relative"
"Dichotomyctere erythrotaenia","3.3","0.5","based on size and trophs of closest relative"
"Marilyna pleurosticta","3.3","0.2","based on size and trophs of closest relative"
"Arothron hispidus","3.2","0.0","based on diet studies"
"Arothron immaculatus","2.5","0.20","based on food items"
"Arothron mappa","2.8","0.19","based on food items"
"Canthigaster amboinensis","2.7","0.2","based on diet studies"
"Canthigaster bennetti","2.5","0.20","based on food items"
"Canthigaster callisterna","3.1","0.4","based on size and trophs of closest relative"
"Canthigaster epilampra","3.1","0.34","based on food items"
"Canthigaster janthinoptera","3.1","0.32","based on food items"
"Canthigaster ocellicincta","3.1","0.4","based on size and trophs of closest relative"
"Canthigaster papua","3.1","0.4","based on size and trophs of closest relative"
"Canthigaster valentini","2.8","0.30","based on food items"
"Contusus brevicaudus","3.4","0.2","based on size and trophs of closest relative"
"Marilyna darwinii","3.3","0.2","based on size and trophs of closest relative"
"Marilyna meraukensis","3.4","0.2","based on size and trophs of closest relative"
"Omegophora cyanopunctata","3.4","0.2","based on size and trophs of closest relative"
"Polyspina piosae","3.4","0.2","based on size and trophs of closest relative"
"Reicheltia halsteadi","3.3","0.2","based on size and trophs of closest relative"
"Tetractenos hamiltoni","3.3","0.2","based on size and trophs of closest relative"
"Torquigener altipinnis","3.3","0.2","based on size and trophs of closest relative"
"Torquigener andersonae","3.3","0.2","based on size and trophs of closest relative"
"Torquigener hypselogeneion","3.3","0.2","based on size and trophs of closest relative"
"Torquigener paxtoni","3.3","0.2","based on size and trophs of closest relative"
"Torquigener perlevis","3.4","0.2","based on size and trophs of closest relative"
"Torquigener squamicauda","3.3","0.2","based on size and trophs of closest relative"
"Torquigener tuberculiferus","3.3","0.2","based on size and trophs of closest relative"
"Torquigener vicinus","3.3","0.2","based on size and trophs of closest relative"
"Lagocephalus cheesemanii","3.4","0.4","based on size and trophs of closest relative"
"Arothron caeruleopunctatus","3.5","0.5","based on size and trophs of closest relative"
"Canthigaster compressa","3.5","0.37","based on food items"
"Leiodon dapsilis","3.3","0.2","based on size and trophs of closest relative"
"Canthigaster leoparda","3.1","0.4","based on size and trophs of closest relative"
"Canthigaster solandri","3.0","0.36","based on food items"
"Canthigaster axiologus","3.1","0.4","based on size and trophs of closest relative"
"Triodon macropterus","3.1","0.27","based on food items"
"Diodon nicthemerus","3.8","0.2","based on size and trophs of closest relative"
"Allomycterus pilatus","3.6","0.4","based on size and trophs of closest relative"
"Cyclichthys spilostylus","3.5","0.41","based on food items"
"Tragulichthys jaculiferus","3.5","0.37","based on food items"
