"species","trophic_level","se","metric"
"Urogymnus dalyensis","3.5","0.4","based on size and trophs of closest relative"
"Pateobatis fai","3.7","0.57","based on food items"
"Pateobatis jenkinsii","3.5","0.5","based on size and trophs of closest relative"
"Himantura leoparda","3.6","0.5","based on size and trophs of closest relative"
"Urogymnus asperrimus","3.5","0.46","based on food items"
"Megatrygon microps","3.9","0.6","based on size and trophs of closest relative"
"Neotrygon picta","3.4","0.3","based on size and trophs of closest relative"
"Neotrygon ningalooensis","3.4","0.3","based on size and trophs of closest relative"
"Urogymnus acanthobothrium","3.5","0.4","based on size and trophs of closest relative"
"Pateobatis hortlei","3.5","0.5","based on size and trophs of closest relative"
"Gymnura australis","3.8","0.6","based on size and trophs of closest relative"
"Hexatrygon bickelli","3.6","0.5","based on size and trophs of closest relative"
"Urolophus bucculentus","3.6","0.4","based on size and trophs of closest relative"
"Urolophus cruciatus","3.4","0.44","based on food items"
"Urolophus gigas","3.6","0.4","based on size and trophs of closest relative"
"Urolophus paucimaculatus","3.7","0.59","based on food items"
"Urolophus sufflavus","3.5","0.4","based on size and trophs of closest relative"
"Trygonoptera testacea","3.8","0.59","based on food items"
"Urolophus viridis","3.5","0.4","based on size and trophs of closest relative"
"Urolophus expansus","3.5","0.4","based on size and trophs of closest relative"
"Urolophus westraliensis","3.5","0.4","based on size and trophs of closest relative"
"Urolophus flavomosaicus","3.6","0.4","based on size and trophs of closest relative"
"Urolophus mitosis","3.5","0.4","based on size and trophs of closest relative"
"Trygonoptera galba","3.6","0.5","based on size and trophs of closest relative"
"Trygonoptera imitata","3.7","0.5","based on size and trophs of closest relative"
"Trygonoptera mucosa","3.6","0.5","based on size and trophs of closest relative"
"Trygonoptera ovalis","3.6","0.5","based on size and trophs of closest relative"
"Trygonoptera personata","3.6","0.5","based on size and trophs of closest relative"
"Urolophus kapalensis","3.5","0.4","based on size and trophs of closest relative"
"Urolophus piperatus","3.5","0.4","based on size and trophs of closest relative"
"Urolophus circularis","3.6","0.4","based on size and trophs of closest relative"
"Urolophus lobatus","3.5","0.4","based on size and trophs of closest relative"
"Urolophus orarius","3.5","0.4","based on size and trophs of closest relative"
"Plesiobatis daviesi","4.0","0.66","based on food items"
"Myliobatis tenuicaudatus","3.5","0.4","based on size and trophs of closest relative"
"Aetomylaeus caeruleofasciatus","3.8","0.5","based on size and trophs of closest relative"
"Aetobatus ocellatus","3.6","0.5","based on size and trophs of closest relative"
"Myliobatis hamlyni","3.5","0.4","based on size and trophs of closest relative"
"Aetomylaeus vespertilio","3.8","0.5","based on size and trophs of closest relative"
"Rhinoptera neglecta","3.6","0.5","based on size and trophs of closest relative"
"Rhinoptera javanica","3.5","0.24","based on food items"
"Mobula eregoodootenkee","3.4","0.45","based on food items"
"Mobula mobular","3.5","0.45","based on food items"
"Mobula thurstoni","3.1","0.30","based on food items"
"Mobula birostris","3.5","0.50","based on food items"
"Mobula alfredi","3.5","0.5","based on size and trophs of closest relative"
"Chimaera ogilbyi","3.7","0.6","based on size and trophs of closest relative"
"Chimaera fulva","3.7","0.6","based on size and trophs of closest relative"
"Chimaera obscura","3.7","0.6","based on size and trophs of closest relative"
"Chimaera macrospina","3.7","0.6","based on size and trophs of closest relative"
"Chimaera lignaria","3.7","0.6","based on size and trophs of closest relative"
"Chimaera argiloba","3.7","0.6","based on size and trophs of closest relative"
"Hydrolagus homonycteris","3.9","0.6","based on size and trophs of closest relative"
"Hydrolagus marmoratus","3.9","0.6","based on size and trophs of closest relative"
"Hydrolagus trolli","4.0","0.6","based on size and trophs of closest relative"
"Callorhinchus milii","3.6","0.29","based on food items"
"Harriotta raleighana","3.6","0.38","based on food items"
"Rhinochimaera pacifica","3.9","0.5","based on size and trophs of closest relative"
"Rhinochimaera africana","3.8","0.5","based on size and trophs of closest relative"
"Elops hawaiensis","4.0","0.62","based on food items"
"Elops machnata","4.0","0.3","based on diet studies"
"Megalops cyprinoides","3.5","0.1","based on diet studies"
"Albula argentea","3.7","0.3","based on size and trophs of closest relative"
"Albula oligolepis","3.5","0.3","based on size and trophs of closest relative"
"Anguilla australis","4.3","0.5","based on diet studies"
"Anguilla reinhardtii","3.6","0.56","based on food items"
"Anguilla bicolor","3.6","0.50","based on food items"
"Anguilla obscura","4.5","0.80","based on food items"
"Moringua ferruginea","3.4","0.3","based on size and trophs of closest relative"
"Moringua javanica","3.4","0.3","based on size and trophs of closest relative"
"Moringua microchir","3.1","0.1","based on diet studies"
"Neoconger tuberculatus","3.2","0.3","based on size and trophs of closest relative"
"Moringua abbreviata","3.3","0.3","based on size and trophs of closest relative"
"Moringua bicolor","3.3","0.3","based on size and trophs of closest relative"
"Moringua macrochir","3.2","0.3","based on size and trophs of closest relative"
"Kaupichthys atronasus","3.6","0.5","based on size and trophs of closest relative"
"Kaupichthys brachychirus","3.7","0.6","based on size and trophs of closest relative"
"Kaupichthys diodontus","3.9","0.6","based on size and trophs of closest relative"
"Chlopsis sagmacollaris","3.9","0.6","based on size and trophs of closest relative"
"Gymnothorax cribroris","4.0","0.6","based on size and trophs of closest relative"
"Gymnothorax minor","3.9","0.6","based on size and trophs of closest relative"
"Gymnothorax longinquus","4.0","0.6","based on size and trophs of closest relative"
"Gymnothorax pseudothyrsoideus","3.7","0.52","based on food items"
"Gymnothorax prasinus","3.6","0.0","based on diet studies"
"Gymnothorax mccoskeri","3.8","0.6","based on size and trophs of closest relative"
"Gymnothorax cephalospilus","3.7","0.6","based on size and trophs of closest relative"
"Gymnothorax thyrsoideus","4.0","0.65","based on food items"
"Uropterygius nagoensis","3.6","0.6","based on size and trophs of closest relative"
"Uropterygius marmoratus","3.6","0.6","based on size and trophs of closest relative"
"Gymnothorax pictus","4.2","0.72","based on food items"
"Gymnothorax favagineus","4.2","0.64","based on food items"
"Anarchias allardicei","3.4","0.5","based on size and trophs of closest relative"
"Anarchias cantonensis","3.4","0.5","based on size and trophs of closest relative"
"Anarchias leucurus","3.3","0.5","based on size and trophs of closest relative"
"Anarchias seychellensis","3.5","0.5","based on size and trophs of closest relative"
"Echidna nebulosa","4.2","0.71","based on food items"
"Echidna polyzona","3.5","0.4","based on diet studies"
