id,imcra_names,imcra_codes
37081004,Southwest Transition,7
37081005,Central Eastern Province,12
37081005,Tasman Basin Province,13
37081005,Lord Howe Province,14
37081005,Central Eastern Transition,15
37081005,Kenn Transition,16
37081005,Northeast Province,18
37081005,Northeast Transition,19
37081005,Timor Province,2
37081005,Cape Province,20
37081005,Northwest Transition,3
37081005,Northwest Province,4
37081005,Central Western Transition,5
37081005,Central Western Province,6
37081005,Southwest Transition,7
37337018,Lord Howe Province,14
37337018,Norfolk Island Province,21
37337018,Northern Shelf Province,25
37337018,Northwest Shelf Transition,26
37337018,Northwest Shelf Province,27
37337018,Central Western Shelf Transition,28
37337018,Central Western Shelf Province,29
37337018,Southwest Shelf Transition,30
37337018,Southwest Shelf Province,31
37337018,Southeast Shelf Transition,37
37337018,Central Eastern Shelf Province,38
37337018,Central Eastern Shelf Transition,39
37337018,Northeast Shelf Province,40
37337018,Northeast Shelf Transition,41
37337010,Timor Transition,1
37337010,Northern Shelf Province,25
37337010,Northwest Shelf Transition,26
37337010,Northwest Shelf Province,27
37337010,Central Eastern Shelf Transition,39
37337010,Northeast Shelf Province,40
37337010,Northeast Shelf Transition,41
37337036,Timor Transition,1
37337036,Northern Shelf Province,25
37337036,Northwest Shelf Transition,26
37337036,Northwest Shelf Province,27
37337036,Central Eastern Shelf Transition,39
37337036,Northeast Shelf Province,40
37337036,Northeast Shelf Transition,41
37337067,Northern Shelf Province,25
37337067,Northwest Shelf Transition,26
37337067,Northwest Shelf Province,27
37337067,Northeast Shelf Province,40
37337067,Northeast Shelf Transition,41
37128002,Tasmania Province,10
37128002,Macquarie Island Province,24
37128002,Southwest Transition,7
37128002,Southern Province,8
37128001,Tasmania Province,10
37128001,Southeast Transition,11
37128001,Central Eastern Province,12
37128001,Lord Howe Province,14
37128001,Kenn Province,17
37128001,Northeast Transition,19
37128001,Southeast Shelf Transition,37
37128001,Central Eastern Shelf Province,38
37128001,Central Eastern Shelf Transition,39
37128001,Northwest Province,4
37128001,Southern Province,8
37114014,Tasmania Province,10
37114014,Southeast Transition,11
37114014,Central Eastern Province,12
37114014,Tasman Basin Province,13
37114014,Lord Howe Province,14
37114014,Norfolk Island Province,21
37114014,Southwest Transition,7
37114014,Southern Province,8
37114014,West Tasmania Transition,9
37114003,Northwest Transition,3
37114003,Northwest Province,4
37114029,Central Eastern Province,12
37114029,Central Eastern Transition,15
37114029,Northeast Province,18
37114043,Central Eastern Province,12
37114043,Norfolk Island Province,21
37114042,Lord Howe Province,14
37114042,Northwest Province,4
37114042,Central Western Transition,5
37114042,Central Western Province,6
37114045,Northeast Province,18
37114045,Northwest Province,4
