caab_code,imcra_region
37381001,Central Eastern Shelf Transition
37381001,Northeast Shelf Province
37081004,Central Eastern Province
37081004,Tasman Basin Province
37081004,Lord Howe Province
37081004,Central Eastern Transition
37081004,Kenn Transition
37081004,Northeast Province
37081004,Northeast Transition
37081004,Timor Province
37081004,Cape Province
37081004,Norfolk Island Province
37081004,Northwest Transition
37081004,Northwest Province
37081004,Central Western Transition
37081004,Central Western Province
37081004,Southwest Transition
37081005,Central Eastern Province
37081005,Tasman Basin Province
37081005,Lord Howe Province
37081005,Central Eastern Transition
37081005,Kenn Transition
37081005,Northeast Province
37081005,Northeast Transition
37081005,Timor Province
37081005,Cape Province
37081005,Northwest Transition
37081005,Northwest Province
37081005,Central Western Transition
37081005,Central Western Province
37081005,Southwest Transition
37337018,Lord Howe Province
37337018,Norfolk Island Province
37337018,Northern Shelf Province
37337018,Northwest Shelf Transition
37337018,Northwest Shelf Province
37337018,Central Western Shelf Transition
37337018,Central Western Shelf Province
37337018,Southwest Shelf Transition
37337018,Southwest Shelf Province
37337018,Southeast Shelf Transition
37337018,Central Eastern Shelf Province
37337018,Central Eastern Shelf Transition
37337018,Northeast Shelf Province
37337018,Northeast Shelf Transition
37337010,Timor Transition
37337010,Northern Shelf Province
37337010,Northwest Shelf Transition
37337010,Northwest Shelf Province
37337010,Central Eastern Shelf Transition
37337010,Northeast Shelf Province
37337010,Northeast Shelf Transition
37337036,Timor Transition
37337036,Northern Shelf Province
37337036,Northwest Shelf Transition
37337036,Northwest Shelf Province
37337036,Central Eastern Shelf Transition
37337036,Northeast Shelf Province
37337036,Northeast Shelf Transition
37337067,Northern Shelf Province
37337067,Northwest Shelf Transition
37337067,Northwest Shelf Province
37337067,Northeast Shelf Province
37337067,Northeast Shelf Transition
37128002,Tasmania Province
37128002,Macquarie Island Province
37128002,Southwest Transition
37128002,Southern Province
37128001,Tasmania Province
37128001,Southeast Transition
37128001,Central Eastern Province
37128001,Lord Howe Province
37128001,Kenn Province
37128001,Northeast Transition
37128001,Southeast Shelf Transition
37128001,Central Eastern Shelf Province
37128001,Central Eastern Shelf Transition
37128001,Northwest Province
37128001,Southern Province
37114014,Tasmania Province
37114014,Southeast Transition
37114014,Central Eastern Province
37114014,Tasman Basin Province
37114014,Lord Howe Province
37114014,Norfolk Island Province
37114014,Southwest Transition
37114014,Southern Province
37114014,West Tasmania Transition
37114003,Northwest Transition
37114003,Northwest Province
37114029,Central Eastern Province
37114029,Central Eastern Transition
37114029,Northeast Province
37114043,Central Eastern Province
37114043,Norfolk Island Province
37114042,Lord Howe Province
37114042,Northwest Province
37114042,Central Western Transition
37114042,Central Western Province
37114045,Northeast Province
37114045,Northwest Province
37114045,Central Western Transition
37114045,Central Western Province
37114045,Southwest Transition
37228108,Northwest Shelf Transition
37228108,Northwest Shelf Province
37228106,Lord Howe Province
37228106,Northeast Province
37228106,Timor Province
37228106,Northwest Shelf Province
37228106,Northeast Shelf Transition
37228043,Timor Province
37228043,Cape Province
37228043,Northern Shelf Province
37228043,Northwest Shelf Transition
37228043,Northwest Shelf Province
37228043,Northeast Shelf Province
37228043,Northeast Shelf Transition
37210004,Northwest Shelf Province
37210004,Central Western Shelf Transition
37210004,Central Western Shelf Province
37210004,Southwest Shelf Transition
37210004,Southwest Shelf Province
37210004,Spencer Gulf Shelf Province
37068045,Timor Transition
37068045,Northern Shelf Province
37068045,Northwest Shelf Transition
37068045,Northeast Shelf Province
37266005,Tasmania Province
37266005,Southeast Transition
37266005,Southwest Transition
37266005,Southern Province
37266005,West Tasmania Transition
37266004,Tasmania Province
37266004,Southeast Transition
37266004,Central Eastern Province
37266004,Tasman Basin Province
37266004,Lord Howe Province
37266004,Norfolk Island Province
37266004,Northwest Transition
37266004,Northwest Province
37266004,Central Western Transition
37266004,Central Western Province
37266004,Southwest Transition
37266004,Southern Province
37266004,West Tasmania Transition
37429043,Northeast Transition
37429043,Northeast Shelf Transition
37469002,Tasmania Province
37469002,Southeast Transition
37469002,Central Eastern Province
37469002,Tasman Basin Province
37469002,Lord Howe Province
37469002,Southwest Shelf Province
37469002,Great Australian Bight Shelf Transition
37469002,Spencer Gulf Shelf Province
37469002,Western Bass Strait Shelf Transition
37469002,Bass Strait Shelf Province
37469002,Tasmanian Shelf Province
37469002,Southeast Shelf Transition
37469002,Central Eastern Shelf Province
37469002,Central Eastern Shelf Transition
37469002,Northeast Shelf Province
37469002,Southern Province
37469002,West Tasmania Transition
37441021,Tasmania Province
37441021,Southeast Transition
