"campaignid","opcode","period","error","family","genus","species","number","length_mm","frame","frame_left","range","min_length","max_length","length_max_mm","em_comment","rms","precision","code"
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C42-251",,"too big","Tetraodontidae","Lagocephalus","lunaris","1","484.25694",,"72439",,"74.7","423.3","498",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C42-252",,"too small","Carangidae","Gnathanodon","speciosus","1","99.79087",,"25346",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C42-252",,"too small","Carangidae","Gnathanodon","speciosus","1","87.42579",,"25362",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C42-252",,"too small","Carangidae","Gnathanodon","speciosus","1","82.83653",,"25367",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C42-252",,"too small","Carangidae","Gnathanodon","speciosus","1","97.78811",,"25376",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C42-252",,"too small","Carangidae","Gnathanodon","speciosus","1","87.62712",,"25385",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-C42-252",,"too small","Carangidae","Gnathanodon","speciosus","1","74.68902",,"25740",,"180","1020","1200",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-002",,"too big","Acanthuridae","Acanthurus","triostegus","4","239.74655",,"33169",,"40.5","229.5","270",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-002",,"too big","Acanthuridae","Acanthurus","triostegus","4","247.24124",,"33693",,"40.5","229.5","270",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-002",,"too big","Labridae","Choerodon","spp","1","460.65147",,"47351",,"68.8312499821186","390.043749898672","458.874999880791",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-002",,"too big","Pomacentridae","Neopomacentrus","azysron","2","76.18185",,"80370",,"11.25","63.75","75",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-002",,"too big","Pomacentridae","Neopomacentrus","azysron","2","67.398",,"80378",,"11.25","63.75","75",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-002",,"too big","Pomacentridae","Neopomacentrus","azysron","1","65.24536",,"80381",,"11.25","63.75","75",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-002",,"too big","Pomacentridae","Neopomacentrus","azysron","1","81.10757",,"80388",,"11.25","63.75","75",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-002",,"too big","Pomacentridae","Neopomacentrus","azysron","1","69.20696",,"80393",,"11.25","63.75","75",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-002",,"too big","Pomacentridae","Neopomacentrus","azysron","1","71.93241",,"80401",,"11.25","63.75","75",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-002",,"too big","Pomacentridae","Unknown","spp","1","110.37357",,"2479",,"17.9579144869277","101.761515425924","119.719429912851",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-002",,"too big","Pomacentridae","Unknown","spp","1","112.35584",,"2479",,"17.9579144869277","101.761515425924","119.719429912851",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-002",,"too big","Siganidae","Siganus","virgatus","3","286.02239",,"41364",,"45","255","300",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-002",,"too big","Siganidae","Siganus","virgatus","3","266.84468",,"41416",,"45","255","300",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-002",,"too big","Siganidae","Siganus","virgatus","2","269.12329",,"41480",,"45","255","300",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-003",,"too big","Chaetodontidae","Heniochus","diphreutes","1","195.61565",,"43975",,"31.5","178.5","210",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-003",,"too big","Chaetodontidae","Heniochus","diphreutes","1","202.88021",,"44141",,"31.5","178.5","210",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-004",,"too big","Chaetodontidae","Chaetodon","aureofasciatus","1","125.27681",,"7601",,"21","119","140",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-004",,"too big","Lutjanidae","Lutjanus","carponotatus","1","341.55332",,"53157",,"60","340","400",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-004",,"too big","Pomacentridae","Abudefduf","bengalensis","2","153.55241",,"77997",,"27","153","180",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-005",,"species.not.observed.in.region.before","Cheloniidae","Unknown","spp",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-005",,"species.not.in.life.history.sheet","Sus","Sus","sus",,,,,,,,,,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-005",,"too big","Acanthuridae","Acanthurus","grammoptilus","1","313.06462",,"26131",,"53.3999977111816","302.599987030029","355.999984741211",,,,
"2024-05_Exmouth-Gulf_stereo-BRUVs","EG-CPO-005",,"too big","Chaetodontidae","Chelmon","marginalis","1","154.55077",,"67070",,"27","153","180",,,,
