"level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","qualifiers"
"Biota","Sponges","Cup-likes","Barrels",,,,,,,,
"Biota","Sponges","Cup-likes","Cups",,,,,,,,
"Biota","Sponges","Cup-likes","Cups","Cup / goblet",,,,,,,
"Biota","Sponges","Cup-likes","Cups","Incomplete cup / curled fan",,,,,,,
"Biota","Sponges","Cup-likes","Cups","Tables / discs",,,,,,,
"Biota","Sponges","Cup-likes","Tubes and chimneys",,,,,,,,
"Biota","Sponges","Cup-likes",,,,,,,,,
"Biota","Sponges","Erect forms","Branching",,,,,,,,
"Biota","Sponges","Erect forms","Laminar",,,,,,,,
"Biota","Sponges","Erect forms","Palmate",,,,,,,,
"Biota","Sponges","Erect forms","Simple",,,,,,,,
"Biota","Sponges","Erect forms","Stalked",,,,,,,,
"Biota","Sponges","Erect forms",,,,,,,,,
"Biota","Sponges","Massive forms","Balls",,,,,,,,
"Biota","Sponges","Massive forms","Cryptic",,,,,,,,
"Biota","Sponges","Massive forms","Simple",,,,,,,,
"Biota","Sponges","Massive forms",,,,,,,,,
"Biota","Sponges",,,,,,,,,,
"Biota","Unscorable","","",,,,,"","","",
"Biota","Worms","Acorn worms",,,,,,,,,
"Biota","Worms","Echiura",,,,,,,,,
"Biota","Worms","Flatworms",,,,,,,,,
"Biota","Worms","Penisworms",,,,,,,,,
"Biota","Worms","Polychaetes","Other polychaetes",,,,,,,,
"Biota","Worms","Polychaetes","Tube worms",,,,,,,,
"Biota","Worms","Polychaetes",,,,,,,,,
"Biota","Worms","Sipuncula",,,,,,,,,
"Biota","Worms",,,,,,,,,,
"Physical","Relief","Flat",,"0",,,,,,,
"Physical","Relief","High","Caves","5",,,,"","","",
"Physical","Relief","High","High (>3m)","3",,,,,,,
"Physical","Relief","High","Wall","4",,,,,,,
"Physical","Relief","High",,,,,,,,,
"Physical","Relief","Low / moderate","Low (<1m)","1",,,,,,,
"Physical","Relief","Low / moderate","Moderate (1-3m)","2",,,,,,,
"Physical","Relief","Low / moderate",,,,,,,,,
"Physical","Relief",,,,,,,,,,
"Physical","Substrate","Consolidated (hard)","Boulders",,,,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Consolidated (hard)","Cobbles",,,,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Consolidated (hard)","Rock",,,,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Consolidated (hard)",,,,,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Unconsolidated (soft)","Pebble / gravel",,,,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Biologenic",,,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Biologenic","Barnacle plates",,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Biologenic","Coquina / shellhash",,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Biologenic","Coral rubble",,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Biologenic","Rhodoliths",,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Biologenic","Screwshells",,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Gravel (2-10mm)",,,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Pebble (10-64mm)",,,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)",,,,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",,,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Fine sand (no shell fragments)",,,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Mud / silt (<64um)",,,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate","Unconsolidated (soft)",,,,,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
"Physical","Substrate",,,,,,,,,,"Veneer/Iceberg scour/Storm damage/Urchin barren/Turf mat"
