level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code
Crustacea	Lobsters	Squat lobsters				28825904
Crustacea	Lobsters	True lobsters				28786000
Crustacea	Lobsters					28000902
Crustacea	Prawns / shrimps / mysids					28000901
Crustacea						27000000
Echinoderms	Feather stars	Stalked crinoids				25001901
Echinoderms	Feather stars	Unstalked crinoids				25001902
Echinoderms	Feather stars					25001000
Echinoderms	Ophiuroids	Basket stars				25160902
Echinoderms	Ophiuroids	Brittle / snake stars				25160901
Echinoderms	Ophiuroids					25160000
Echinoderms	Sea cucumbers	Benthic				25400901
Echinoderms	Sea cucumbers	Pelagic / swimming				25400902
Echinoderms	Sea cucumbers					25400000
Echinoderms	Sea stars					25102000
Echinoderms	Sea urchins	Irregular urchins				25200902
Echinoderms	Sea urchins	Regular urchins				25200901
Echinoderms	Sea urchins					25200000
Echinoderms						25000000
Fishes	Bony fishes					37990083
Fishes	Eels					37990025
Fishes	Elasmobranchs	Chimaeras				37990028
Fishes	Elasmobranchs	Rays & skates				37990030
Fishes	Elasmobranchs	Sharks				37990016
Fishes	Elasmobranchs					37990082
Fishes						37000000
Jellies	Ctenophores					12000000
Jellies	Cubozoa					11150000
Jellies	Hydromedusae					11000901
Jellies	Pyrosomes					35101000
Jellies	Salps					35100000
Jellies	Scyphozoa					11120000
Jellies	Siphonophores					11090000
Jellies						80600903
Macroalgae	Articulated calcareous	Green				80300912
Macroalgae	Articulated calcareous	Green			Drift	80300912
Macroalgae	Articulated calcareous	Green			No epiphytes	80300912
Macroalgae	Articulated calcareous	Green			Epiphytes algae	80300912
Macroalgae	Articulated calcareous	Green			Epiphytes other	80300912
Macroalgae	Articulated calcareous	Red				80300913
Macroalgae	Articulated calcareous	Red			Drift	80300913
Macroalgae	Articulated calcareous	Red			No epiphytes	80300913
Macroalgae	Articulated calcareous	Red			Epiphytes algae	80300913
Macroalgae	Articulated calcareous	Red			Epiphytes other	80300913
Macroalgae	Articulated calcareous					80300911
Macroalgae	Articulated calcareous				Drift	80300911
Macroalgae	Articulated calcareous				No epiphytes	80300911
Macroalgae	Articulated calcareous				Epiphytes algae	80300911
Macroalgae	Articulated calcareous				Epiphytes other	80300911
Macroalgae	Encrusting	Brown				80300927
Macroalgae	Encrusting	Green				80300928
Macroalgae	Encrusting	Red				80300929
Macroalgae	Encrusting	Red	Calcareous			80300934
Macroalgae	Encrusting	Red	Non-calcareous			80300935
Macroalgae	Encrusting					80300926
Macroalgae	Erect coarse branching	Brown				80300904
Macroalgae	Erect coarse branching	Brown			Drift	80300904
Macroalgae	Erect coarse branching	Brown			No epiphytes	80300904
Macroalgae	Erect coarse branching	Brown			Epiphytes algae	80300904
Macroalgae	Erect coarse branching	Brown			Epiphytes other	80300904
Macroalgae	Erect coarse branching	Green				80300905
Macroalgae	Erect coarse branching	Green			Drift	80300905
Macroalgae	Erect coarse branching	Green			No epiphytes	80300905
Macroalgae	Erect coarse branching	Green			Epiphytes algae	80300905
Macroalgae	Erect coarse branching	Green			Epiphytes other	80300905
Macroalgae	Erect coarse branching	Red				80300906
Macroalgae	Erect coarse branching	Red			Drift	80300906
Macroalgae	Erect coarse branching	Red			No epiphytes	80300906
Macroalgae	Erect coarse branching	Red			Epiphytes algae	80300906
Macroalgae	Erect coarse branching	Red			Epiphytes other	80300906
Macroalgae	Erect coarse branching					80300903
Macroalgae	Erect coarse branching				Drift	80300903
Macroalgae	Erect coarse branching				No epiphytes	80300903
Macroalgae	Erect coarse branching				Epiphytes algae	80300903
Macroalgae	Erect coarse branching				Epiphytes other	80300903
Macroalgae	Erect fine branching	Brown				80300908
Macroalgae	Erect fine branching	Brown			Drift	80300908
Macroalgae	Erect fine branching	Brown			No epiphytes	80300908
Macroalgae	Erect fine branching	Brown			Epiphytes algae	80300908
Macroalgae	Erect fine branching	Brown			Epiphytes other	80300908
Macroalgae	Erect fine branching	Green				80300909
Macroalgae	Erect fine branching	Green			Drift	80300909
Macroalgae	Erect fine branching	Green			No epiphytes	80300909
Macroalgae	Erect fine branching	Green			Epiphytes algae	80300909
Macroalgae	Erect fine branching	Green			Epiphytes other	80300909
Macroalgae	Erect fine branching	Red				80300910
Macroalgae	Erect fine branching	Red			Drift	80300910
Macroalgae	Erect fine branching	Red			No epiphytes	80300910
